t sigma_z_100 sigma_z_1000 sigma_z_10000
0.0 1.0 1.0 1.0
0.05005005005005005 0.99874070878135 0.9987522264681468 0.9987506173564589
0.1001001001001001 0.9949490918520583 0.9950407173492062 0.9950322473904276
0.15015015015015015 0.9886233396985117 0.9889402828297839 0.9889309643755303
0.2002002002002002 0.9797546139529533 0.9805726445365895 0.9805892168683406
0.2502502502502503 0.9685107927999256 0.9700589329756155 0.9701944566285085
0.3003003003003003 0.9552669096397124 0.9576127614785755 0.9579383937394578
0.3503503503503504 0.940217484730747 0.9433860283455172 0.9440485650848557
0.4004004004004004 0.9230028899160857 0.9277134873862676 0.928710046020749
0.45045045045045046 0.9043716028580129 0.9109459576680567 0.912181406439012
0.5005005005005005 0.8836562147675852 0.8932309090127014 0.8945932958315234
0.5505505505505506 0.8615632682467449 0.8747324444344737 0.876238382628368
0.6006006006006006 0.8374238207622802 0.8554659135198525 0.8573911626164646
0.6506506506506506 0.8113033809728546 0.8356599373771663 0.8383584398401028
0.7007007007007008 0.7851779489357013 0.8158280079548734 0.8194458366560003
0.7507507507507508 0.7587145651903251 0.7959319007000825 0.8008768499051951
0.8008008008008008 0.732973829704687 0.7764962457971992 0.7828615533234371
0.8508508508508509 0.7093799421904555 0.7577221549319243 0.7655854362420369
0.9009009009009009 0.6869051058016238 0.7403722699028787 0.7493111948329886
0.9509509509509511 0.6664500100339827 0.7245299130054177 0.7343085631296578
1.001001001001001 0.6490958505773399 0.7101848751821528 0.720711964412304
1.0510510510510511 0.6358367064015996 0.6977697713270377 0.7087095233155598
1.1011011011011012 0.625472160136556 0.6875995884206264 0.6984117356400293
1.1511511511511512 0.6170989930131455 0.6794392842568108 0.689816168089065
1.2012012012012012 0.6094239970827462 0.6727663462765688 0.6829611838807186
1.2512512512512513 0.6012570504300113 0.6681912097479581 0.6777168862306354
1.3013013013013013 0.5941450036233032 0.6656125700522474 0.6739613240509609
1.3513513513513515 0.5882798615987205 0.6645434159231519 0.6716478954929682
1.4014014014014016 0.5843647770579518 0.6649129226596798 0.6705785399969638
1.4514514514514516 0.5818928821285623 0.6664603048884239 0.6706911493439232
1.5015015015015016 0.5822691283395582 0.6687159063502479 0.6716506614844886
1.5515515515515517 0.5841928691695165 0.6713560046405733 0.6733246725869992
1.6016016016016017 0.5871295084563675 0.6747827745539854 0.6754063631599524
1.6516516516516517 0.5909714123369163 0.6787850412188869 0.6778306136943911
1.7017017017017018 0.5953715405244072 0.6827993450960664 0.6803372965355551
1.7517517517517518 0.5998439849859003 0.6864286065983095 0.6827737383840208
1.8018018018018018 0.6034970285086012 0.6897782296401097 0.685083689572014
1.8518518518518519 0.6066584156602287 0.6926890411742139 0.6871085102067921
1.9019019019019021 0.609219534471511 0.6949803523806752 0.6886864821334324
1.9519519519519521 0.6104714091564855 0.6963996674130304 0.6899153977872162
2.002002002002002 0.6107519569909124 0.6967059037879346 0.6906012480812231
2.052052052052052 0.6083684648060568 0.6964589938861082 0.6907270770697498
2.1021021021021022 0.6031602183023596 0.6958549380554825 0.6902809649159838
2.1521521521521523 0.5962780590157685 0.6949180525983573 0.6891209842018975
2.2022022022022023 0.5884852079263214 0.693846311200381 0.6873122170177512
2.2522522522522523 0.579911573863556 0.6921276040418587 0.684783003930125
2.3023023023023024 0.5706233733709112 0.6899074276285414 0.6815402080581819
2.3523523523523524 0.5617642128626108 0.6869656451417451 0.6776139858911561
2.4024024024024024 0.5542714972157556 0.6833456793447577 0.6730316652417698
2.4524524524524525 0.5468559479003662 0.6792370881852641 0.6678345478088626
2.5025025025025025 0.5399572274514839 0.6747940252315888 0.6619607024798756
2.5525525525525525 0.5335360850094895 0.6695278922410967 0.6553186070210251
2.6026026026026026 0.5286925656771363 0.66359841495957 0.6480593143792448
2.6526526526526526 0.5239927490473368 0.657022424140921 0.6402928154222607
2.702702702702703 0.5188026581643724 0.6499403479501134 0.6319592929882214
2.752752752752753 0.5130183647364516 0.642018308468264 0.6233101140165751
2.802802802802803 0.5073192394143262 0.6333457813447615 0.6143022076848174
2.852852852852853 0.5010225591635628 0.6240276718451991 0.6047494390880104
2.902902902902903 0.4935437772186612 0.6139737350206447 0.5949637837653607
2.9529529529529532 0.48488906987816527 0.6040637477393881 0.5849553625845816
3.0030030030030033 0.4752821818187634 0.5940595146382676 0.5747583437643506
3.0530530530530533 0.46540520772617205 0.583814026873201 0.564543869038808
3.1031031031031033 0.4563682658031651 0.5736389247427207 0.5542340983625712
3.1531531531531534 0.44711130752162775 0.5633893612085855 0.5439123064515512
3.2032032032032034 0.4366783718812408 0.5529697150425509 0.5335975464791508
3.2532532532532534 0.4256627207690039 0.5422324376615117 0.523360705464337
3.3033033033033035 0.41476584522657467 0.5314749278087861 0.5130798864896713
3.3533533533533535 0.4045446679969953 0.5206840454662452 0.5028498868037885
3.4034034034034035 0.3963006647048725 0.5100375419676528 0.49269378708374645
3.4534534534534536 0.3877381690053119 0.4993444230964785 0.4827219852216588
3.5035035035035036 0.38025453976307105 0.4883006481438806 0.47288981858830487
3.5535535535535536 0.3733929259478923 0.47726832449506335 0.4632680227410544
3.6036036036036037 0.36746694083797693 0.46650694418854916 0.4539709736690176
3.6536536536536537 0.36161993002709963 0.45638050719423356 0.4447223394894413
3.7037037037037037 0.3562026420884506 0.4470051284579104 0.4355702490914062
