t sigma_z_10 sigma_z_20 sigma_z_30 sigma_z_40
0.0 1.0 1.0 1.0 1.0
0.06012024048096192 0.9927875498214697 0.9927926394563441 0.9928022620395708 0.9927973380561687
0.12024048096192384 0.9714390894910534 0.971465807353176 0.9715332471607546 0.971495539642823
0.18036072144288576 0.9367681451719729 0.9369125183820998 0.9370822386294981 0.9370138601587249
0.24048096192384769 0.8902750345094761 0.8905411412909933 0.8909459813730886 0.890823771500576
0.3006012024048096 0.8338223770239238 0.8343261751445334 0.8349950241385367 0.8349021533331579
0.3607214428857715 0.7696760765551868 0.7703355556349639 0.7715534021408587 0.7712628115734241
0.42084168336673344 0.6999281255011858 0.7009138960739938 0.7027526472421983 0.7020717358475912
0.48096192384769537 0.6271486606171149 0.6284994794755329 0.6309391852770466 0.6296432809114152
0.5410821643286573 0.5534573499496861 0.5553721443276408 0.5582126154813302 0.5563516629901166
0.6012024048096192 0.4807929717772665 0.48368672963869597 0.48667350000337445 0.48392174189843046
0.6613226452905812 0.4109744385150851 0.4146355313960196 0.4181568390761817 0.4144376008163664
0.721442885771543 0.3455770762577337 0.35048076954443647 0.3539607062465047 0.34895743408159247
0.781563126252505 0.28601631392983484 0.2926985599943465 0.2956522180607823 0.28923873608542133
0.8416833667334669 0.2332336351757792 0.24147474886568834 0.24389400666460498 0.23620846782948665
0.9018036072144289 0.18794581954533604 0.19770313011641752 0.19921841986928074 0.1900423921082205
0.9619238476953907 0.15034872245872652 0.16136392257160245 0.16185799710991808 0.15086082267880932
1.0220440881763526 0.12018829625198209 0.13223822533514107 0.13193982104189364 0.11933380663985554
1.0821643286573146 0.09746972285191206 0.1104423244113212 0.10898360045201708 0.09532217763030214
1.1422845691382766 0.08146030622316555 0.09553948291401543 0.09298977411992199 0.07820393917616063
1.2024048096192383 0.0721756624823758 0.08679667654802366 0.08362875463139231 0.06784582360838329
1.2625250501002003 0.06875945532678354 0.08381508755599489 0.08069780896867162 0.06397785218083529
1.3226452905811623 0.07082876611290526 0.08620125824075676 0.08365484621168323 0.06590321777664182
1.3827655310621243 0.07799955473303405 0.09331242382048058 0.09160429453727337 0.07353875544205721
1.442885771543086 0.08962091875736093 0.10448039325841314 0.10348237350716057 0.08587065001292088
1.503006012024048 0.10521439908481163 0.11940603476567671 0.11888330490812729 0.10233917506007786
1.56312625250501 0.12424715568827069 0.13741778932793577 0.13741899702163524 0.1224956427549472
1.6232464929859718 0.14590951798197146 0.15838246730346708 0.1586866216609016 0.14560297769173342
1.6833667334669338 0.16969837709375815 0.1811979191386716 0.18211032925519627 0.1707941414888805
1.7434869739478958 0.19464876588396182 0.2050433031088707 0.20664818357714484 0.1973449911931066
1.8036072144288577 0.22033007543828834 0.22959736338483863 0.23191205398112774 0.22410456655862612
1.8637274549098195 0.24596660072522586 0.2545063612635072 0.2572239260096019 0.25086315281311194
