t z_t_Re z_t_Im z_t_z_0_Re z_t_z_0_Im z_t_z_0_c_Re z_t_z_0_c_Im zeros alpha_Re alpha_Im
0.0 0.0014951522855786597 -0.032698451736177254 0.0011094318359813498 0.004226378495127838 1.953176888552308 0.0 0 2.0 0.0
0.02004008016032064 -0.0009333765797558798 -0.026726940368042778 0.0006222837258385044 0.00022439962075934263 1.919537978305144 -0.0767749935967243 0 1.9784697961924307 -0.07933987553930384
0.04008016032064128 -0.011173773671612664 -0.024332783452778298 0.004518499545509239 -0.004444848080832188 1.9027828770506778 -0.16455890678839805 0 1.954023959297563 -0.15697154738817928
0.06012024048096192 -0.009275163136295414 -0.021427495172353688 0.010927856286082985 -0.013487377989253091 1.869879381656576 -0.23499943187325784 0 1.926761640736793 -0.23279774155029392
0.08016032064128256 -0.015104295581319892 -0.01789124180071665 0.006076461763480385 -0.007321827862808976 1.8389716409154697 -0.3001272232745682 0 1.8967847834097424 -0.3067261645245151
0.1002004008016032 -0.02176937218438017 -0.018041496280672722 -0.006266334478641062 -0.001011176295679003 1.8034145271203776 -0.3773206696002057 0 1.8641978940677766 -0.3786695604271388
0.12024048096192384 -0.028800560806099374 -0.016078079795040057 -0.010607134315590233 0.00043430875934176563 1.7608781342595854 -0.4456018790397773 0 1.8291078158719105 -0.4485457584692642
0.1402805611222445 -0.030247766115381092 -0.016821690344514185 -0.0021611784793790388 0.0032709106193384513 1.7153032042080374 -0.5013946264365038 0 1.7916235015157231 -0.5162777109004548
0.16032064128256512 -0.024661966057338135 -0.020974381869091768 -0.002152948599672955 0.012198676897386058 1.6857553574288522 -0.5596559003625471 0 1.7518557872854117 -0.5817935215437334
0.18036072144288576 -0.01826053637723249 -0.016568014787636736 0.0009799346812699086 0.017428784303029042 1.6417432525957114 -0.6193190991388836 0 1.7099171684201224 -0.6450264650603701
0.2004008016032064 -0.022698418876246712 -0.021216652607476256 0.0021190810532762754 0.012946233450796953 1.597620424308785 -0.6881248182346599 0 1.6659215761263257 -0.7059149970958429
0.22044088176352705 -0.028939826014738886 -0.017420187191744683 0.016272693987148045 0.007444878789904035 1.5503973599740515 -0.7354272081286244 0 1.619984156590156 -0.7644027554707481
0.24048096192384769 -0.029512074228474294 -0.025964647079560126 0.00587554650374512 0.0020086399526730546 1.508352578478912 -0.7822078146915734 0 1.5722210523214712 -0.8204385525923252
0.2605210420841683 -0.027723365057809257 -0.027045731646286653 0.006490089147704696 5.5156309260121714e-05 1.4603447073150193 -0.8313906958429867 0 1.5227491861527944 -0.8739763592736046
0.280561122244489 -0.02883007506386826 -0.025875997737720133 0.0018962638580664773 -0.00028406489557343306 1.4092459331515117 -0.8919823777641132 0 1.4716860482054233 -0.924975280157995
0.3006012024048096 -0.034978191396487744 -0.01848282120040726 0.009883280647341088 -0.009968037973754321 1.3608674916521564 -0.9426923991320225 0 1.41914948612378 -0.9733995209573866
0.32064128256513025 -0.04510368975890711 -0.018763119707685107 0.016034813698997803 -0.0036901720299693888 1.3031045666164767 -0.978535226556746 0 1.365257498867565 -1.0192183477215488
0.3406813627254509 -0.051608507407906755 -0.015145439427314547 0.00989481595342638 -0.016825343787572555 1.2488198963033936 -1.0231812110621235 0 1.310128034339548 -1.0624060383657463
0.3607214428857715 -0.04761252081977077 -0.014929906464247853 0.005889617539267677 -0.011517414704448732 1.2015372308369519 -1.063721535550804 0 1.2538787911148066 -1.1029418266920692
0.3807615230460922 -0.060453633368649944 -0.019692455968720154 0.007425393733665757 -0.011443011859708868 1.140015743304253 -1.1079700654326206 0 1.1966270245250403 -1.1408098391479935
