t sigma_z_N_trunc_2 sigma_z_N_trunc_4 sigma_z_N_trunc_8 sigma_z_N_trunc_16
0.0 1.0 1.0 1.0 1.0
0.05005005005005005 0.99875183341021 0.9987526055461998 0.9987527802399023 0.9987503571014362
0.1001001001001001 0.9950346287638263 0.9950432209480298 0.9950468167252017 0.9950293109610481
0.15015015015015015 0.9889291751971048 0.9889596701245337 0.9889725078672374 0.9889241685945656
0.2002002002002002 0.9805646183641131 0.9806263155855086 0.9806605633790697 0.9805715532892028
0.2502502502502503 0.9701186545225668 0.9702160276762188 0.9702822120677538 0.9701471325355615
0.3003003003003003 0.9578078835321948 0.957944333671073 0.9580416212151754 0.957863876911698
0.3503503503503504 0.9438633038660137 0.9440358417099811 0.9441312511870436 0.9439604710535546
0.4004004004004004 0.928505309759899 0.9287028967542825 0.9287941798680733 0.9286619175504535
0.45045045045045046 0.9120614853391705 0.912128867067627 0.9121735573782366 0.9122332887412291
0.5005005005005005 0.8946274655164504 0.8945206931765882 0.8946408338287167 0.8949226385323497
0.5505505505505506 0.8764985595914392 0.8762253021623652 0.8764976958945441 0.8768593756740256
0.6006006006006006 0.8578807704712739 0.8575077139533435 0.8578909087258291 0.858315381938149
0.6506506506506506 0.8389010185846868 0.8385796100425372 0.8390797499566808 0.8395090830318234
0.7007007007007008 0.8197335278299719 0.8198682876663513 0.8202622534097967 0.8206282173095456
0.7507507507507508 0.8007517348892055 0.8016080386288981 0.8017449800974178 0.8017891315536841
0.8008008008008008 0.7824379979681958 0.7841189052888647 0.7839239221730029 0.7834852411343172
0.8508508508508509 0.7650677422804498 0.7674233388962576 0.7670291211709996 0.7660204948651973
0.9009009009009009 0.7488702736838049 0.7518095349177749 0.7511754428236397 0.7496145366184258
0.9509509509509511 0.7341284429951488 0.7373380093291085 0.7366680833652086 0.7344612548810092
1.001001001001001 0.7210891144513363 0.7242521076447292 0.7235452048364548 0.7208056794557407
1.0510510510510511 0.7098828045480122 0.7126220973006637 0.7119004585983847 0.7087401014297123
1.1011011011011012 0.7004495782448695 0.7024267688775361 0.7018269867334513 0.6984343544702685
1.1511511511511512 0.692620179418442 0.6939006112392576 0.6933985035468182 0.6900210762821338
1.2012012012012012 0.6862886956541269 0.6870775714497211 0.6865790421915743 0.6832696849474916
1.2512512512512513 0.6811872446697269 0.6819168187453684 0.6814291724106908 0.6782444038085687
1.3013013013013013 0.6771117771878671 0.6782258624462707 0.6777678808481133 0.6746449112462102
1.3513513513513515 0.6738269771392656 0.6758119949019055 0.675522681729668 0.6723717366115354
1.4014014014014016 0.6710770249778132 0.6747121218620742 0.6746106116498364 0.6713808167695523
1.4514514514514516 0.6685459054918896 0.6748034989018633 0.67469654609882 0.6716903994843353
1.5015015015015016 0.6661608806790339 0.6759979146022601 0.6756682996204229 0.6730023849904404
1.5515515515515517 0.6635884275958941 0.6781000695502786 0.6772532221220072 0.6750753152475047
1.6016016016016017 0.660875835104392 0.6809663216868735 0.6793863238574244 0.6776205032620314
1.6516516516516517 0.6577330500671548 0.6843237631085974 0.6819054687356666 0.6803280134279416
1.7017017017017018 0.6540194250507108 0.6879909676854622 0.6846372351417361 0.6830940751807848
1.7517517517517518 0.6496927944859524 0.691847232813579 0.6873715637612298 0.6857985310639059
1.8018018018018018 0.644787499635515 0.6956127492525903 0.6900105987756399 0.6882844574419696
1.8518518518518519 0.6393381117233823 0.6990157044412691 0.6922774132155463 0.69041413294493
1.9019019019019021 0.6334271130040374 0.7018417614183868 0.6940562166995458 0.6921932030070495
1.9519519519519521 0.6269869143734701 0.7039273212860748 0.6952005687445786 0.6935263628859497
2.002002002002002 0.6201112527098368 0.7051640562018577 0.6957299086664731 0.694160502060399
2.052052052052052 0.612821724555101 0.7054092107014724 0.6954231029728964 0.6940563155502959
2.1021021021021022 0.6051117091746261 0.7044658941656932 0.6944082208704656 0.6931594361771813
2.1521521521521523 0.597040036417565 0.7022389771257378 0.6927190375188641 0.6916311107683698
2.2022022022022023 0.5886891845690988 0.698735676025704 0.6903410801705039 0.6895112315521396
2.2522522522522523 0.5801782562546365 0.6940110301147018 0.6872399338424303 0.6867567129174157
2.3023023023023024 0.5715550436282322 0.6881501050973283 0.6834764427910002 0.6833259261960773
2.3523523523523524 0.5626865797847403 0.6812755049058702 0.6790598651389792 0.6792405578929518
2.4024024024024024 0.5536182176920879 0.6736402693996258 0.6739320468312026 0.674554155195117
2.4524524524524525 0.5445089463544367 0.6653315776867157 0.6680443483841958 0.6692692044415363
2.5025025025025025 0.5351223484262845 0.6564478877518962 0.6615780116698712 0.6634434055874215
2.5525525525525525 0.5255827489090554 0.6470246138304717 0.6545328756228193 0.6570175263105239
2.6026026026026026 0.5158239637706978 0.6371546449773562 0.6469770546986308 0.6500217828361406
2.6526526526526526 0.5058240545499658 0.6269775820589756 0.6388802710067691 0.6424736902055227
2.702702702702703 0.4955126531916682 0.6166337891980482 0.6302524378765975 0.6344098422041612
2.752752752752753 0.48490521198711584 0.6060253242662744 0.6210699458593455 0.6260665252270227
2.802802802802803 0.47394353991177157 0.5952982496655255 0.6114018879270281 0.6174247338536843
2.852852852852853 0.46241580907854013 0.5845286399018405 0.6014722429604058 0.6083905925763519
2.902902902902903 0.4503781734152992 0.5735463303216064 0.5912041203441655 0.5989846461373907
2.9529529529529532 0.4377366117185731 0.562375788928278 0.5807716804141765 0.589139657350507
3.0030030030030033 0.42453644385465605 0.5513000415706785 0.5700864828638628 0.5787854097689071
3.0530530530530533 0.4110817356270526 0.5402114909495636 0.5592156686678458 0.5680145477351743
3.1031031031031033 0.39736951328923564 0.5292953549409186 0.5482874474157443 0.5569689485592935
3.1531531531531534 0.38349534840375804 0.518529151613413 0.537156232887426 0.5457654374326414
3.2032032032032034 0.36961508887586936 0.5081488437184892 0.5260371215137671 0.5345861341256603
3.2532532532532534 0.3557029372873938 0.4979493054900656 0.5149753464888981 0.5234550100085751
3.3033033033033035 0.3420552553501001 0.48787363611240253 0.5039480266752155 0.5123905287727024
3.3533533533533535 0.32889617457529075 0.4779287337400369 0.4929596134040825 0.5014652003399529
3.4034034034034035 0.31624979039812984 0.4682372087978564 0.4822478230349955 0.49080852507009615
3.4534534534534536 0.3041783506006706 0.458913551948088 0.4715455408650464 0.48056414516024704
3.5035035035035036 0.2926944660304086 0.4499376869938861 0.4611427313153864 0.4706401532497258
3.5535535535535536 0.2818781084531045 0.4412836943432596 0.4511258976806648 0.4610817706171754
3.6036036036036037 0.27201640861041626 0.43287441967657103 0.44137796891783765 0.4520257973368231
3.6536536536536537 0.26299561732095944 0.4247393282507227 0.432047850734193 0.4434444744587484
3.7037037037037037 0.25496999445405527 0.4170994435055301 0.4230892824239992 0.43535445225791747
3.753753753753754 0.24783348596068122 0.40985008659390443 0.414581810258441 0.42763065546854306
3.8038038038038042 0.24158662987517604 0.4029873992914355 0.4064780775106248 0.4202386244895136
3.8538538538538543 0.23619090059155934 0.39673039761055223 0.39892092762790154 0.41327371679266844
3.9039039039039043 0.2314025136343366 0.39086657966071714 0.3918945741264979 0.4068954100307254
3.9539539539539543 0.22712723668040627 0.3854447773455643 0.3853026494419723 0.40113943487615744
4.004004004004004 0.22330527783045714 0.38052576574194275 0.37924376557210954 0.39598333061545893
4.054054054054054 0.21970089020370123 0.3759927936720854 0.37386590176226236 0.39132673284149
4.104104104104104 0.21629970952162766 0.3718104803346167 0.3689274373675446 0.3870048939978079
4.1541541541541545 0.2131527564337663 0.3679874820473843 0.36446689427480916 0.38304253394146137
4.2042042042042045 0.2102488700769025 0.36449089488831804 0.36047297289790114 0.3794058599793729
4.2542542542542545 0.2075729472596856 0.36096434843727004 0.35680317509358556 0.3760366147754725
4.3043043043043046 0.20509333031093793 0.35749238098692654 0.3534973030014873 0.37295922935666254
4.354354354354355 0.20244593410816777 0.3540710327110563 0.35059529636388936 0.3700883951255905
