t sigma_z_100 sigma_z_1000 sigma_z_10000
0.0 1.0 1.0 1.0
0.06012024048096192 0.9927612286172024 0.9927836740599586 0.9927958193321665
0.12024048096192384 0.9714647532254171 0.9714260358937743 0.9714763025140092
0.18036072144288576 0.9371824800785953 0.9366189747165242 0.9369307855090742
0.24048096192384769 0.8908279982227998 0.8898432126183781 0.8905799757497347
0.3006012024048096 0.8350376860019918 0.8329456218924504 0.8341590470086158
0.3607214428857715 0.7733746655979072 0.7677222907358221 0.7700303157644134
0.42084168336673344 0.7056751774885257 0.6964864472840889 0.7002696532207113
0.48096192384769537 0.63346697701229 0.6211654232603823 0.6274589578455063
0.5410821643286573 0.5599801020313976 0.5444693688045865 0.5536717878386804
0.6012024048096192 0.4863415704220633 0.4681382408779966 0.4809161751504854
0.6613226452905812 0.41659141701038577 0.3941466000569202 0.4109719224902421
0.721442885771543 0.3481912678170282 0.32339780321763384 0.3458348890627749
0.781563126252505 0.2863673666936315 0.25948414515386936 0.28635827528384805
0.8416833667334669 0.23427087310365027 0.201773652439633 0.23347105227202272
0.9018036072144289 0.1887225014852136 0.1513876728513216 0.1876943419119566
0.9619238476953907 0.15328933297360306 0.10930523272721249 0.14909341794288003
1.0220440881763526 0.12820306592690892 0.07603773468141015 0.11808616881582912
1.0821643286573146 0.108590450355581 0.051840467201801126 0.09434449332563045
1.1422845691382766 0.10190264026609284 0.035655292069038065 0.07785197735072125
1.2024048096192383 0.10150409391403031 0.027409137138616903 0.06847206958309503
1.2625250501002003 0.1094808124925218 0.02589598017130891 0.06545882033994528
1.3226452905811623 0.12491202527493234 0.030615212140787187 0.06846014681266296
1.3827655310621243 0.14466687885082133 0.04020541955897269 0.07689017277304125
1.442885771543086 0.166943550322862 0.05601780241486807 0.08968884256077711
1.503006012024048 0.1979866359261456 0.074454509267021 0.1061110873982148
1.56312625250501 0.22878188521366943 0.09713885799881891 0.12541427190660842
1.6232464929859718 0.26363012795693985 0.12304742639119866 0.14711168629185262
1.6833667334669338 0.30014192460923284 0.15141040962383728 0.17053954537743238
1.7434869739478958 0.33633007638362905 0.1821696124353476 0.19511601903166162
1.8036072144288577 0.37253959855640917 0.212613498162014 0.22033753540131812
1.8637274549098195 0.40956401281418137 0.24243775054097813 0.24575933237859243
1.9238476953907815 0.44383341958800726 0.27125852662082717 0.2707983665367331
1.9839679358717435 0.4722516896570035 0.29954269622452045 0.2950551079202926
2.0440881763527052 0.5011746934529375 0.32677857421065526 0.3178831097021842
2.1042084168336674 0.5237862209319658 0.351423376231631 0.3389821436098973
2.164328657314629 0.5424137022771903 0.37394132387658363 0.35762051326260796
2.224448897795591 0.5580097014716472 0.3944055375285343 0.37418672344067994
2.284569138276553 0.57271452227734 0.4113308873810074 0.3880342604578294
2.344689378757515 0.578395038731508 0.42335271209218045 0.398734350557133
2.4048096192384767 0.5779197782824622 0.43222471227689585 0.406140581345546
2.464929859719439 0.5705283239240072 0.43641203355409336 0.4103801577180248
2.5250501002004007 0.5583875458078847 0.43706679614897825 0.411719509903922
2.5851703406813624 0.5423623420343964 0.43409754147090895 0.4099376761933405
2.6452905811623246 0.5203424086509209 0.4282260969345851 0.4054165015302512
2.7054108216432864 0.4963218800692203 0.41883007068881756 0.3981119891125255
2.7655310621242486 0.46996931578073176 0.40578121313116516 0.3881669225890441
2.8256513026052104 0.44098856705448 0.3881338057628042 0.37559292909208614
2.885771543086172 0.41208089136996273 0.3680267929613744 0.36080251772406025
2.9458917835671343 0.38333555860303725 0.3468385840921405 0.3438913011786495
3.006012024048096 0.35686606913729946 0.3235704063679473 0.32552218606337263
3.066132264529058 0.33225982422882905 0.2996536200149014 0.30586341727229693
3.12625250501002 0.3086716826069243 0.2757049438396442 0.2852273710657649
3.186372745490982 0.28792148999755673 0.25187346377923153 0.26355332782880575
3.2464929859719436 0.2675044022902323 0.22829339220321923 0.2421474540427773
3.306613226452906 0.24791273563064906 0.20547987963225875 0.22101650911485748
3.3667334669338675 0.23288307613205084 0.18458361331771814 0.20050376594499353
3.4268537074148293 0.21781111527084537 0.16514139044139986 0.1809270490941563
3.4869739478957915 0.2034294939961211 0.14799531832916926 0.16253985771584975
3.5470941883767533 0.19244241996260378 0.13257507621432998 0.1455705121851357
3.6072144288577155 0.18695413463140612 0.11958449389020298 0.13018424847488824
3.6673346693386772 0.18110847784274106 0.10914999904888706 0.11662364044505957
3.727454909819639 0.17773305903894226 0.10073206399266219 0.10490718755792015
3.787575150300601 0.17615221167297132 0.09429060145828547 0.09499646690229742
3.847695390781563 0.1754634559786955 0.09077292860232541 0.08718652631339126
3.9078156312625247 0.17455777475149348 0.08812202378832103 0.0809928129008943
3.967935871743487 0.1785903267506346 0.08807436881239672 0.07651474641211807
4.028056112224449 0.18711937972278414 0.08950304174317918 0.07361749578248197
4.0881763527054105 0.19498277610763354 0.09218043352258429 0.07222813011226159
4.148296593186372 0.2042552684063529 0.0961530980437812 0.07282855275335937
