tau alpha_compare_Re alpha_compare_Im alpha_1_Re alpha_1_Im
0.03003003003003003 1.0359794747531592 -0.061832565601853524 0.9912279222262541 -0.062032537714705384
0.06006006006006006 1.0088640978118162 -0.06218990895943047 0.9838141355099066 -0.061568571765221534
0.09009009009009009 0.992322016774303 -0.061336468834327515 0.9764557994444569 -0.0611080760010664
0.12012012012012012 0.9793156176880291 -0.06040449983006799 0.969152499292497 -0.06065102446734775
0.15015015015015015 0.9682843013015832 -0.0599869237402924 0.961903823418605 -0.0601973914033003
0.18018018018018017 0.9588793310295469 -0.0598465547799703 0.9547093632661428 -0.05974715124083372
0.21021021021021022 0.9505633348737321 -0.05948211594884247 0.9475687133342299 -0.05930027860309159
0.24024024024024024 0.9426399705937307 -0.058840913118900766 0.9404814711548876 -0.05885674830302105
0.2702702702702703 0.9348165540664479 -0.05826991057557411 0.9334472372703546 -0.05841653534195321
0.3003003003003003 0.9272629541644735 -0.05794365279578299 0.926465615210573 -0.057979614908194116
0.3303303303303303 0.9201145505029135 -0.05765388768465897 0.9195362114708416 -0.05754596237562634
0.36036036036036034 0.9131789846818191 -0.057181953129689767 0.9126586354896367 -0.05711555330232093
0.39039039039039036 0.906203524642684 -0.05661960604123324 0.905832499626599 -0.05668836342915982
0.42042042042042044 0.8992100961631494 -0.056183953072030265 0.8990574191406857 -0.05626436867846851
0.45045045045045046 0.89238945772772 -0.05587551275518846 0.8923330121684843 -0.05584354515265898
0.4804804804804805 0.885769264734965 -0.05550726171090653 0.8856588997026906 -0.05542586913288274
0.5105105105105106 0.8791778332123846 -0.05501129724350813 0.8790347055707461 -0.05501131707769398
0.5405405405405406 0.8725182648593728 -0.054527509470109585 0.872460056413636 -0.05459986562172269
0.5705705705705706 0.8659001940115161 -0.054166290575161966 0.8659345816648458 -0.05419149157435774
0.6006006006006006 0.8594440215014666 -0.05384248529471352 0.8594579135294749 -0.05378617191843977
0.6306306306306306 0.8530906907482338 -0.05342641379998416 0.8530296869635063 -0.05338388380896388
0.6606606606606606 0.8467074982942311 -0.05294834381824075 0.8466495396532325 -0.052984604571792035
0.6906906906906907 0.8402982474983506 -0.05253672192884861 0.8403171119948336 -0.05258831170237505
0.7207207207207207 0.833983573461907 -0.052210036835608715 0.8340320470741092 -0.05219498286448421
0.7507507507507507 0.8278020009298315 -0.05185737408878392 0.8277939906463619 -0.05180459588895229
0.7807807807807807 0.8216555095087259 -0.05142189805748678 0.8216025911164307 -0.05141712877242407
0.8108108108108109 0.8154724944753742 -0.05098538004459833 0.8154574995188746 -0.051032559676116154
