t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
0.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.0200133422281521 0.9992018017468499 1.0 0.9991987170899045 2.0 0.9991991363353689 2.0 
0.0400266844563042 0.9968060182315972 2.0 0.9967950119629458 2.0 0.9967964807205068 2.0 
0.06004002668445631 0.9928253962763223 2.0 0.9927997770229887 2.0 0.9927998507848999 2.0 
0.0800533689126084 0.9872656940020542 2.0 0.9872163372130964 2.0 0.987226979370702 2.0158 
0.1000667111407605 0.9801430202239674 2.0 0.9800721476702081 2.0 0.9800834158267732 3.0 
0.12008005336891261 0.9715415814402517 2.0 0.9713890927875113 2.0 0.9714018280024338 3.0 
0.1400933955970647 0.9614080254442086 2.0 0.9612105160598199 2.0 0.9612758251752224 3.0 
0.1601067378252168 0.9498688587625933 2.0 0.9496197839737428 2.0 0.9497254034022399 3.0001 
0.1801200800533689 0.936932649868774 2.0 0.9366250581370587 2.0 0.9367618572655722 3.2183 
0.200133422281521 0.9226452582969092 2.0 0.9223024971063696 2.066 0.922534508840073 3.9247 
0.2201467645096731 0.9071497297532304 2.0 0.9066937745629532 2.6467 0.9069778759777845 3.9995 
0.24016010673782523 0.8903187870847783 2.0 0.8898126060519751 2.9687 0.8902419338547832 4.0 
0.2601734489659773 0.8722121574843404 2.0 0.8718708440488007 2.999 0.8720777837936008 4.0 
0.2801867911941294 0.853164366536586 2.0 0.8526905087371273 2.9999 0.8529455717232975 4.0 
0.3002001334222815 0.8330733129417082 2.0 0.8323981484754757 3.0 0.8327159265984736 4.0 
0.3202134756504336 0.8119893077070057 2.0 0.8109816667962237 3.0021 0.8117811189129902 4.0 
0.3402268178785857 0.7899140042452768 2.0 0.788724640616604 3.0259 0.7899259950453769 4.0 
0.3602401601067378 0.766913759394725 2.0 0.765642030269679 3.1233 0.7670071471543852 4.0 
0.3802535023348899 0.7428405234099233 2.0 0.7418332166343705 3.3034 0.7430681752682131 4.0 
0.400266844563042 0.7182486229927169 2.0 0.7172109151958349 3.5228 0.7184948635870899 4.0 
0.4202801867911941 0.6932499096155731 2.0 0.6919872261268776 3.7141 0.6930593672721795 4.0 
0.4402935290193462 0.6678791228146359 2.0 0.6665811180788069 3.8413 0.6674371676908276 4.0 
0.4603068712474983 0.6420130092264963 2.0 0.6405713695033293 3.9196 0.641552491553566 4.0 
0.48032021347565046 0.6159441568027958 2.0 0.6139656742029378 3.9596 0.6148827496222211 4.0 
0.5003335557038026 0.5894057552091553 2.0 0.5874142554388287 3.9812 0.5883219137863702 4.0 
0.5203468979319547 0.5625725291064451 2.0 0.5601370495523572 3.9897 0.5614244858446172 4.0 
0.5403602401601068 0.5355909332944657 2.0 0.5325713796493179 3.9945 0.5345783106818458 4.0 
0.5603735823882589 0.5084225693749981 2.0 0.5051421712804302 3.9975 0.5070643435948343 4.0 
0.580386924616411 0.48148608117845504 2.0 0.4775779769182919 3.9989 0.4795791776293745 4.0002 
0.600400266844563 0.45376559244796155 2.0 0.4503755898137152 3.9992 0.45232207667294844 4.0197 
0.6204136090727151 0.4264214755076522 2.0 0.4237909446446667 3.9997 0.4247532971324692 4.1172 
0.6404269513008672 0.3997356865992682 2.0 0.3971695583666117 3.9998 0.39721916355908754 4.3083 
0.6604402935290193 0.373653636594582 2.0 0.37016612681021566 3.9999 0.37020104761194206 4.5078 
0.6804536357571714 0.3474276681286734 2.0 0.3431448423866275 4.0 0.3432344319137902 4.6718 
0.7004669779853235 0.3211544590712981 2.0 0.31636240609084487 4.0 0.316609620669205 4.7939 
0.7204803202134756 0.29533973730015295 2.0001 0.289899632442634 4.0 0.2907024810467376 4.8764 
0.7404936624416277 0.27015239148999115 2.0003 0.26348435493592076 4.0 0.2651796743967959 4.9267 
0.7605070046697798 0.24533851705965148 2.0014 0.23827855623347663 4.0 0.24086564506607633 4.957 
0.7805203468979319 0.22125554256551483 2.002 0.21405700568914648 4.0 0.21721848493127996 4.9763 
0.800533689126084 0.19785317831051122 2.004 0.190551714275708 4.0 0.19377988895684478 4.9859 
0.8205470313542361 0.17541253178593588 2.0081 0.16814988460279018 4.0 0.17083962831235408 4.9931 
0.8405603735823882 0.1537848703134484 2.016 0.14638553005953045 4.0 0.14890773145928077 4.9956 
0.8605737158105403 0.13307753987018864 2.0265 0.1252831633578245 4.0 0.1272414691757156 4.9974 
0.8805870580386924 0.11324005548914702 2.04 0.10467458389425449 4.0 0.10696107411990638 4.9983 
0.9006004002668445 0.09412613243632127 2.0627 0.08512919094011565 4.0 0.08744490111343048 4.999 
0.9206137424949966 0.07620311619841341 2.0895 0.06665474279556018 4.0 0.06892430516910619 4.9998 
0.9406270847231487 0.05886480627841037 2.1253 0.04896393340021121 4.0 0.051257680022521866 5.0021 
0.9606404269513009 0.04295684374792728 2.163 0.032119062700516704 4.0 0.034393029881049454 5.0096 
0.980653769179453 0.0280177760973764 2.2053 0.016452044883879895 4.0 0.01904297978597866 5.0256 
1.0006671114076051 0.014000665840622453 2.2573 0.0018980391127816929 4.0 0.004425520686844673 5.0556 
1.0206804536357572 0.0009760823598263401 2.3071 -0.011802266710974318 4.0 -0.009235193625630293 5.0984 
1.0406937958639093 -0.011258701058041973 2.356 -0.023944648843454604 4.0 -0.02173124813007953 5.1521 
1.0607071380920614 -0.022578667187818917 2.4075 -0.03474475651698377 4.0 -0.03279911008801824 5.2145 
1.0807204803202135 -0.032735126882768986 2.462 -0.04360167135167605 4.0 -0.042982675044495565 5.279 
1.1007338225483656 -0.041390038498061714 2.5117 -0.05163612145583954 4.0 -0.052606773827434276 5.3407 
1.1207471647765177 -0.049169176561636725 2.5549 -0.058921056394070914 4.0 -0.061484615303438274 5.4053 
