t sigma_z_hops sigma_z_homps_RK4 sigma_z_homps_TDVP
0.0 1.0 1.0 1.0
0.02000133342222815 0.9991903642532729 0.9991903099747377 0.9991873746017828
0.0400026668444563 0.9966545150888512 0.9966542874899281 0.9966490657210112
0.060004000266684454 0.992359061338667 0.9923585389592298 0.9923877372839693
0.0800053336889126 0.9863617239138355 0.9863607930853984 0.9863777736695658
0.10000666711114076 0.9789246284600274 0.9789232044171926 0.9788232433418602
0.12000800053336891 0.9695269701670438 0.9695249192419044 0.9693701896544911
0.14000933395559706 0.9585064673785949 0.9585036933619864 0.9580552207024362
0.1600106673778252 0.9454698349532981 0.9454662065076316 0.9447189114240481
0.18001200080005336 0.9321015978915171 0.9320971522889345 0.9310062342968923
0.2000133342222815 0.9178265603246192 0.9178212805331836 0.9162900895469233
0.22001466764450966 0.9014038526040894 0.9013976055645233 0.9000578907302006
0.24001600106673782 0.8860367354904358 0.8860296922500889 0.8848034231757224
0.26001733448896597 0.8704755799104834 0.8704677877668332 0.8702509059012566
0.2800186679111941 0.8556020887911959 0.8555936690134726 0.8553503176772481
0.30002000133342227 0.8440924048012809 0.84408369943176 0.8438164633140365
0.3200213347556504 0.8339264746992766 0.8339176329293787 0.8332975760578553
0.3400226681778786 0.8245256950208802 0.8245168060206347 0.8225171528925338
0.3600240016001067 0.8155339532683313 0.8155250704358835 0.8140457145811314
0.3800253350223349 0.8044182640367084 0.8044092483707123 0.8026035035307528
0.400026668444563 0.7921873889567596 0.792178189817912 0.7900169038313382
0.4200280018667912 0.7817051468101853 0.7816959203736801 0.779286576925262
0.44002933528901933 0.7695786938787871 0.7695693461355335 0.7669771076776318
0.4600306687112475 0.7554690170979114 0.7554594410497355 0.7536459984828525
0.48003200213347563 0.7447427722509141 0.7447332173943116 0.7428448577445016
0.5000333355557037 0.7313643490966908 0.7313546524676696 0.72911326200043
0.5200346689779319 0.7259677311185442 0.7259584022963033 0.7224815246269299
0.54003600240016 0.7132033008555968 0.7131938906143094 0.7109402390859795
