t 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.15015015015015015 0.989267702834054 0.14531934913392247 0.015166495929270093 0.001291197256523763 9.522666971095832e-05 6.272063467098812e-06 3.7553491224725935e-07 2.0643295710118545e-08 1.047798997390745e-09 4.923218512525485e-11 2.142021323047218e-12 8.61397687584777e-14 3.1897114337623964e-15 1.0809597933099794e-16 3.3226471655498798e-18 9.14445946456684e-20 2.211154987772826e-21 4.5620599122359533e-23 7.65355245286124e-25 9.51957078948858e-27 6.865614937511155e-29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.3003003003003003 0.9598800278703559 0.2745061981905064 0.056441172128077186 0.009442875203026144 0.0013687830129446774 0.00017730120665505065 2.096055477267478e-05 2.292020941083468e-06 2.3419165785099112e-07 2.2518835358177595e-08 2.049238833106596e-09 1.7721379923146892e-10 1.461178166872655e-11 1.151509062127744e-12 8.690324801843531e-14 6.289351295723863e-15 4.3694484272757855e-16 2.915872406961493e-17 1.8697617277062254e-18 1.1520995789498548e-19 6.820026990091293e-21 3.8765858538686007e-22 2.1142089939988395e-23 1.1051318297745844e-24 5.529114412145994e-26 2.643152396788942e-27 1.2047632275406844e-28 5.2224728167340744e-30 2.146331511836206e-31 8.33139498700433e-33 3.0404188695131408e-34 1.0372008952231783e-35 3.2840276904262577e-37 9.563331427487106e-39 2.531087073572621e-40 5.991428114461759e-42 1.2401141064294514e-43 2.1696873056017097e-45 3.0356472102262464e-47 3.0566852852508303e-49
0.45045045045045046 0.9162141743487422 0.38228646334080096 0.11637764374497019 0.02873493005155874 0.006146027904111155 0.0011738232223590817 0.00020461225052880353 3.299606962831419e-05 4.975715090642015e-06 7.069461871375081e-07 9.523125718750806e-08 1.2220316999315126e-08 1.4998445730655884e-09 1.7661970030554006e-10 2.0010151422994216e-11 2.1859019242569035e-12 2.3068194832685535e-13 2.3554456417416708e-14 2.3302439835274636e-15 2.236029980654363e-16 2.0831514049517487e-17 1.885670120747282e-18 1.6595886364382792e-19 1.4208468731753194e-20 1.1838329113434992e-21 9.601963445529184e-23 7.58321687004336e-24 5.8320530541310935e-25 4.3680191264313216e-26 3.1858181722707953e-27 2.2624529135420684e-28 1.5641143150760108e-29 1.0523624353739444e-30 6.888213437000536e-32 4.384246778315923e-33 2.711997484988493e-34 1.6293304202057948e-35 9.500022554155594e-37 5.371037412266164e-38 2.943815978610678e-39
0.6006006006006006 0.8619318909615913 0.4668510914033781 0.18739521165458625 0.060793520541210636 0.017069634225385006 0.004276042092487283 0.0009772245596435603 0.00020655605714974356 4.08231214914604e-05 7.602352773651018e-06 1.3426132192688464e-06 2.2596557590659556e-07 3.639527244456795e-08 5.628801854336127e-09 8.383547392426681e-10 1.2053934596564117e-10 1.676666444017979e-11 2.260274620074075e-12 2.957800172550479e-13 3.762383184374924e-14 4.6577576231417315e-15 5.6178313549964355e-16 6.607716944227567e-17 7.585455666819497e-18 8.505129455051182e-19 9.320234579686976e-20 9.987783134390883e-21 1.0471823097498114e-21 1.0746773427799835e-22 1.0799391496137925e-23 1.0629904378753123e-24 1.0251499152376298e-25 9.688926708320862e-27 8.975844640038401e-28 8.151780266980768e-29 7.258622570458095e-30 6.337440173412513e-31 5.425593339379988e-32 4.5546372663728814e-33 3.7593619561713348e-34
0.7507507507507507 0.800544308718619 0.5272255516690129 0.2621136904748706 0.10490946570610125 0.03628650923549765 0.01118661448743612 0.003143990951161378 0.0008169487435694106 0.00019842563703313955 4.54066792842623e-05 9.852856122463657e-06 2.0375500204966194e-06 4.032723886152239e-07 7.66543540343476e-08 1.403522573019944e-08 2.481642229091641e-09 4.246716079899736e-10 7.046709858848193e-11 1.135715703438653e-11 1.7805033953620786e-12 2.7188052137896295e-13 4.048387738817404e-14 5.884518294851096e-15 8.357410808640436e-16 1.1607348385061792e-16 1.5777043362133607e-17 2.1001481754340227e-18 2.7395348339355376e-19 3.503907546164096e-20 4.396427914364216e-21 5.414038120874645e-22 6.54635743026288e-23 7.775019304194099e-24 9.07353626997239e-25 1.0407845702284711e-25 1.173751578423126e-26 1.3017641890176494e-27 1.4201263039981675e-28 1.5241640179046423e-29 1.6195123309027595e-30
0.9009009009009009 0.7364205047448914 0.5627439341387562 0.33335611514142566 0.15827606267495956 0.06481127853435215 0.023625365362717997 0.007844006221706746 0.0024066602269542476 0.0006899132281250292 0.00018629204601937674 4.768973529661212e-05 1.1633736954056699e-05 2.715970233730213e-06 6.089478302596947e-07 1.3151938512130766e-07 2.7433047569429277e-08 5.538622667612714e-09 1.0844812419737895e-09 2.0629091407070173e-10 3.8180290056785985e-11 6.8847501757628255e-12 1.2110360371930439e-12 2.080274384966388e-13 3.4930922186913044e-14 5.738710280622905e-15 9.231856259282916e-16 1.455314553097314e-16 2.249647024055105e-17 3.412178624968109e-18 5.081107383178956e-19 7.432282121986751e-20 1.0684008027441982e-20 1.510037667577133e-21 2.0992407051192607e-22 2.871588073713423e-23 3.8665201209355686e-24 5.126216141982548e-25 6.693955483536727e-26 8.610871824594125e-27 1.1036500824159981e-27
1.0510510510510511 0.6751834024284741 0.5736685834781918 0.39451751680084207 0.21638386063454287 0.1021124547371281 0.04283035237659534 0.016344473606544032 0.005760043599326638 0.0018956338043246894 0.0005874397689039948 0.00017253794342983347 4.828319419173261e-05 1.2928777504797443e-05 3.324553008544441e-06 8.234516318121991e-07 1.9697458054648682e-07 4.5606542897303286e-08 1.024124260093346e-08 2.2342973693779946e-09 4.743166355491115e-10 9.811450374699316e-11 1.9800585864110647e-11 3.902904846057688e-12 7.52153688573324e-13 1.418515174639687e-13 2.6202244223041962e-14 4.744108281736509e-15 8.42542742945175e-16 1.4687008107824676e-16 2.5144425429922197e-17 4.2301752020926176e-18 6.996943698088933e-19 1.1384111662834302e-19 1.8227398627940602e-20 2.8731895772422487e-21 4.4605256445695835e-22 6.822532905551566e-23 1.0284694603411958e-23 1.528021937610232e-24 2.2785761699466837e-25
1.2012012012012012 0.6233233940157256 0.5618914439252372 0.4401320477101457 0.2736650554613872 0.14600591988797293 0.06910588528727245 0.029717173729721557 0.011791700783575727 0.004366543801058715 0.0015219377621178665 0.0005025982384612942 0.00015810047671226208 4.757876068217903e-05 1.3748294095967195e-05 3.826201787961162e-06 1.0283070442941365e-06 2.6748601255003245e-07 6.74801836718723e-08 1.6539065866744434e-08 3.9444768266848526e-09 9.166797582089927e-10 2.0784770864584523e-10 4.6032522707257205e-11 9.968427256228309e-12 2.11270259770671e-12 4.3860653399665156e-13 8.926452981693501e-14 1.7822412620725214e-14 3.4932399598191003e-15 6.725660240059987e-16 1.2727272479817915e-16 2.368440068338842e-17 4.3364246259650535e-18 7.815297651806032e-19 1.3870479574728294e-19 2.4251917541093285e-20 4.1790143087391575e-21 7.099636459994699e-22 1.1887815650109715e-22 2.0146900234845783e-23
1.3513513513513513 0.5864771610962336 0.531713179899741 0.4665578844343368 0.3243792523461825 0.192913502335447 0.10156173966887354 0.04849326294150574 0.021343823034025666 0.008759916854307201 0.0033821977925175303 0.001236739127993248 0.00043064185736086584 0.00014342242343893063 4.585593515624231e-05 1.4118706740602377e-05 4.197417946543034e-06 1.2076913588647373e-06 3.3697567447589717e-07 9.134424521278242e-08 2.4093179598757228e-08 6.192279601497713e-09 1.5527617996064189e-09 3.8032584541759186e-10 9.108736504717712e-11 2.1351338531920366e-11 4.902706310659962e-12 1.103667222675934e-12 2.4375444891529984e-13 5.285367680618828e-14 1.1258497679406409e-14 2.357344683624322e-15 4.85445140206099e-16 9.836778490382356e-17 1.9623106597855165e-17 3.8554786891053584e-18 7.463897640936488e-19 1.4242945556847046e-19 2.6801275880212912e-20 4.969364356615239e-21 9.403325619922326e-22
