t sigma_z_100 sigma_z_1000 sigma_z_10000
0.0 1.0 1.0 1.0
0.0200133422281521 0.9992020724356067 0.9991992509662785 0.9991987170899045
0.0400266844563042 0.9967920633705296 0.9968036725409105 0.9967950119629458
0.06004002668445631 0.9928094330928187 0.9928272589644521 0.9927997770229887
0.0800533689126084 0.9871144603683166 0.9872792385564576 0.9872163372130964
0.1000667111407605 0.9798725341529377 0.9801674751726402 0.9800721476702081
0.12008005336891261 0.9710208181321882 0.9715576291280752 0.9713890927875113
0.1400933955970647 0.960507657885264 0.961478752259285 0.9612105160598199
0.1601067378252168 0.9483557564517737 0.9501015184030108 0.9496197839737428
0.1801200800533689 0.9349809409786815 0.9372533799062971 0.9366250581370587
0.200133422281521 0.9207380262995103 0.9230675603819646 0.9223024971063696
0.2201467645096731 0.9042054294091446 0.9072856538881675 0.9066937745629532
0.24016010673782523 0.8879120937353193 0.8901092142392972 0.8898126060519751
0.2601734489659773 0.8700000054604697 0.8715338214887686 0.8718708440488007
0.2801867911941294 0.8512777143572944 0.8523410702112965 0.8526905087371273
0.3002001334222815 0.8319386040313936 0.8327628256095546 0.8323981484754757
0.3202134756504336 0.8115938323458441 0.8112071722052328 0.8109816667962237
0.3402268178785857 0.7911597133943817 0.7897169963075706 0.788724640616604
0.3602401601067378 0.7710567367086799 0.7671070374234586 0.765642030269679
0.3802535023348899 0.7514506220443278 0.7437517414252668 0.7418332166343705
0.400266844563042 0.7297461962526524 0.7195719296835108 0.7172109151958349
0.4202801867911941 0.707768855295656 0.6943434243476017 0.6919872261268776
0.4402935290193462 0.6843917519110295 0.6676747873906245 0.6665811180788069
0.4603068712474983 0.6584764627095007 0.6401304779672892 0.6405713695033293
0.48032021347565046 0.6339222797899279 0.6124585402922925 0.6139656742029378
0.5003335557038026 0.606604112374698 0.5855221165543611 0.5874142554388287
0.5203468979319547 0.5772195324082283 0.5595017624635346 0.5601370495523572
0.5403602401601068 0.5498207276040696 0.532794725575538 0.5325713796493179
0.5603735823882589 0.5267025247844362 0.5070585320250891 0.5051421712804302
0.580386924616411 0.5003846632579644 0.4800208521421619 0.4775779769182919
